sku,match_name,youtube_id,timestamp_seconds,division_id
RE-V5RC-25-0165,Q1,uZLlramgfoQ,695,1
RE-V5RC-25-0165,Q2,uZLlramgfoQ,900,1
RE-V5RC-25-0165,Q3,uZLlramgfoQ,1075,1
RE-V5RC-25-0165,Q4,uZLlramgfoQ,1247,1
RE-V5RC-25-0165,Q5,uZLlramgfoQ,1577,1
RE-V5RC-25-0165,Q6,uZLlramgfoQ,1772,1
RE-V5RC-25-0165,Q7,uZLlramgfoQ,1943,1
RE-V5RC-25-0165,Q8,uZLlramgfoQ,2125,1
RE-V5RC-25-0165,Q9,uZLlramgfoQ,2295,1
RE-V5RC-25-0165,Q10,uZLlramgfoQ,2493,1
RE-V5RC-25-0165,Q11,uZLlramgfoQ,2768,1
RE-V5RC-25-0165,Q12,uZLlramgfoQ,2946,1
RE-V5RC-25-0165,Q13,uZLlramgfoQ,3526,1
RE-V5RC-25-0165,Q14,uZLlramgfoQ,3693,1
RE-V5RC-25-0165,Q15,uZLlramgfoQ,3847,1
RE-V5RC-25-0165,Q16,uZLlramgfoQ,4122,1
RE-V5RC-25-0165,Q17,uZLlramgfoQ,4276,1
RE-V5RC-25-0165,Q18,uZLlramgfoQ,4463,1
RE-V5RC-25-0165,Q19,uZLlramgfoQ,4645,1
RE-V5RC-25-0165,Q20,uZLlramgfoQ,4806,1
RE-V5RC-25-0165,Q21,uZLlramgfoQ,4955,1
RE-V5RC-25-0165,Q22,uZLlramgfoQ,5146,1
RE-V5RC-25-0165,Q23,uZLlramgfoQ,5373,1
RE-V5RC-25-0165,Q24,uZLlramgfoQ,5526,1
RE-V5RC-25-0165,Q25,uZLlramgfoQ,5761,1
RE-V5RC-25-0165,Q26,uZLlramgfoQ,5998,1
RE-V5RC-25-0165,Q27,uZLlramgfoQ,6154,1
RE-V5RC-25-0165,Q28,uZLlramgfoQ,6398,1
RE-V5RC-25-0165,Q29,uZLlramgfoQ,6554,1
RE-V5RC-25-0165,Q30,uZLlramgfoQ,6734,1
RE-V5RC-25-0165,Q31,uZLlramgfoQ,6917,1
RE-V5RC-25-0165,Q32,uZLlramgfoQ,7094,1
RE-V5RC-25-0165,Q33,uZLlramgfoQ,7257,1
RE-V5RC-25-0165,Q34,uZLlramgfoQ,7422,1
RE-V5RC-25-0165,Q35,uZLlramgfoQ,7586,1
RE-V5RC-25-0165,Q36,uZLlramgfoQ,7800,1
RE-V5RC-25-0165,Q37,uZLlramgfoQ,7950,1
RE-V5RC-25-0165,Q38,uZLlramgfoQ,8177,1
RE-V5RC-25-0165,Q39,uZLlramgfoQ,8343,1
RE-V5RC-25-0165,Q40,uZLlramgfoQ,8557,1
RE-V5RC-25-0165,Q41,uZLlramgfoQ,8723,1
RE-V5RC-25-0165,Q42,uZLlramgfoQ,8980,1
RE-V5RC-25-0165,Q43,uZLlramgfoQ,9165,1
RE-V5RC-25-0165,Q44,uZLlramgfoQ,9350,1
RE-V5RC-25-0165,Q45,uZLlramgfoQ,9519,1
RE-V5RC-25-0165,Q46,uZLlramgfoQ,9678,1
RE-V5RC-25-0165,Q47,uZLlramgfoQ,9842,1
RE-V5RC-25-0165,Q48,uZLlramgfoQ,9995,1
RE-V5RC-25-0165,Q49,uZLlramgfoQ,10159,1
RE-V5RC-25-0165,Q50,uZLlramgfoQ,10355,1
RE-V5RC-25-0165,Q51,uZLlramgfoQ,10529,1
RE-V5RC-25-0165,Q52,uZLlramgfoQ,10693,1
RE-V5RC-25-0165,Q53,uZLlramgfoQ,10875,1
RE-V5RC-25-0165,Q54,uZLlramgfoQ,11081,1
RE-V5RC-25-0165,Q55,uZLlramgfoQ,11341,1
RE-V5RC-25-0165,Q56,uZLlramgfoQ,11534,1
RE-V5RC-25-0165,Q57,uZLlramgfoQ,11728,1
RE-V5RC-25-0165,Q58,uZLlramgfoQ,11889,1
RE-V5RC-25-0165,Q59,uZLlramgfoQ,12048,1
RE-V5RC-25-0165,Q60,uZLlramgfoQ,12319,1
RE-V5RC-25-0165,Q61,uZLlramgfoQ,12505,1
RE-V5RC-25-0165,Q62,uZLlramgfoQ,12675,1
RE-V5RC-25-0165,Q63,uZLlramgfoQ,12828,1
RE-V5RC-25-0165,Q64,uZLlramgfoQ,12995,1
RE-V5RC-25-0165,Q65,uZLlramgfoQ,13160,1
RE-V5RC-25-0165,Q66,uZLlramgfoQ,13345,1
RE-V5RC-25-0165,Q67,uZLlramgfoQ,13495,1
RE-V5RC-25-0165,Q68,uZLlramgfoQ,13701,1
RE-V5RC-25-0165,Q69,uZLlramgfoQ,13881,1
RE-V5RC-25-0165,Q70,uZLlramgfoQ,14041,1
RE-V5RC-25-0165,Q71,uZLlramgfoQ,14218,1
RE-V5RC-25-0165,Q72,uZLlramgfoQ,14395,1
RE-V5RC-25-0165,Q73,uZLlramgfoQ,14569,1
RE-V5RC-25-0165,Q74,uZLlramgfoQ,14724,1
RE-V5RC-25-0165,Q75,uZLlramgfoQ,14937,1
RE-V5RC-25-0165,Q76,uZLlramgfoQ,15087,1
